dataid,total_square_footage,first_floor_square_footage,second_floor_square_footage
2836,2796,1476,1320
2743,1590,1590,0
5323,1185,602,583
8560,2001,1435,566
3313,2001,1435,566
5052,1185,602,583
3936,2134,1162,972
1622,1576,778,798
1114,2122,1162,960
5433,1422,1422,0
1101,2649,1639,1010
8872,1422,1422,0
1464,2345,1385,960
3824,2001,1435,566
78,3249,1532,1717
8047,3245,1779,1466
5839,2068,1036,1032
1050,3249,1532,1717
8597,2122,1162,960
7982,1720,1720,0
7057,1720,1720,0
3192,2075,2075,0
1790,3023,1473,1550
3577,2122,1162,960
8890,2194,1423,771
6830,2075,2075,0
2575,1439,1439,0
5785,1842,1379,463
3544,1185,602,583
1800,2075,2075,0
18,1439,1439,0
35,1240,620,620
114,1842,1379,463
370,2680,2680,0
545,2345,1385,960
585,1720,1720,0
661,1842,1379,463
744,2351,,
964,2919,1401,1518
1185,2122,1162,960
1192,2122,1162,960
1463,2236,793,1443
1642,1720,1720,0
1718,2710,1508,1202
1801,2075,2075,0
1852,1240,620,620
2018,3023,1473,1550
2129,2075,2075,0
2233,3245,1779,1466
2335,2710,1508,1202
2337,1439,1439,0
2345,1748,1010,738
2461,2075,2075,0
2638,1970,1013,957
2645,2075,2075,0
2653,2020,1074,946
2814,1842,1379,463
2818,2345,1385,960
2859,1252,1252,0
2945,1720,1720,0
3009,1252,1252,0
3039,3246,1706,1540
3456,1720,1720,0
3482,1900,950,950
3739,2020,1074,946
3918,3023,1473,1550
3967,2521,2521,0
4031,1946,1001,945
4228,1240,620,620
4336,2090,1168,922
4421,1185,602,583
4447,2713,1514,1199
4590,2669,1455,1214
4671,1240,620,620
4726,1994,1001,993
4767,2710,1508,1202
4998,2710,1508,1202
5193,2001,1435,566
5275,2132,866,1266
5403,1720,1720,0
5545,1994,1001,993
5972,2843,1457,1386
6423,1544,1096,448
6836,1217,1217,0
6990,2345,1385,960
7024,1576,778,798
7036,2075,2075,0
7113,2241,2241,0
7504,,,
7536,2710,1508,1202
7680,2006,1440,566
7731,2194,1423,771
7940,2214,1433,781
8084,2649,1639,1010
8236,1994,1001,993
8317,1576,778,798
8767,2240,1478,762
8829,2669,1455,1214
9121,1981,788,1193
9134,2122,1162,960
9160,2310,1385,925
9237,1720,1720,0
9729,2196,1424,772
5524,2001,1435,566
583,1091,1091,0
4922,2236,956,1280
1994,2152,1315,837
8188,912,,
9343,1800,1800,0
6941,2638,1520,0
624,2227,1795,432
2156,1743,1743,0
1953,1512,1512,0
8092,1828,906,922
990,1392,,
1600,1575,1575,
2004,1974,1974,0
2199,1382,1382,0
2365,2540,1890,650
2378,1652,1652,0
2749,,,
2787,2001,,
2953,1482,1482,0
3531,1176,1176,0
4220,1570,1570,0
4298,953,953,0
4395,1448,1448,0
5026,1583,1070,513
5035,1630,1630,
5806,1912,914,998
5968,,,
6180,,,
7335,2441,1593,0
7390,2046,2046,0
7788,1434,717,717
7809,,,
7951,2148,2148,0
8142,3089,1524,1355
8332,1296,1296,0
9699,978,978,0
3570,1065,1065,0
7454,1422,1422,0
5077,1480,1480,0
2094,2310,1385,925
4302,2521,2521,0
8626,3959,1773,2186
9631,1544,,
2305,2122,,
7016,2710,1508,1202
6643,2154,,
9509,2324,1484,840
5615,2216,1434,782
890,2196,1424,772
7429,2521,2521,0
5892,2122,1162,960
4357,1069,,
171,2376,1476,900
8967,2001,1435,566
5439,1544,,
3256,1276,1276,0
6493,1492,1492,0
7683,1088,1088,0
9927,5196,3184,2012
3724,1015,1015,0
9925,2208,1424,0
7488,1260,1260,0
8719,1235,1235,0
3834,3179,3179,0
9930,1649,1649,0
2062,2214,2214,0
9923,1709,1709,0
4251,1830,1830,0
900,944,944,0
8600,1619,821,798
8741,1533,1533,0
4154,1076,1076,0
936,1736,1736,0
2829,1485,1485,0
3109,1061,1061,0
6910,2698,1466,1232
9654,1237,1237,0
6636,1522,1522,0
9933,1424,1424,0
5874,1215,1215,0
484,1592,1592,0
6673,1257,1257,0
739,802,802,0
7866,960,960,0
2171,1628,818,810
9766,1917,1385,532
1589,2426,2426,0
86,1788,1788,0
93,2934,2934,0
94,1713,1713,0
103,1785,1245,540
410,1152,1152,0
748,1616,1616,0
871,1652,1652,0
898,1221,1221,0
1314,1512,1512,0
1334,1010,1010,0
1714,1934,1934,0
1796,1590,1590,0
2149,3796,1739,2057
2158,1186,1186,0
2864,1973,,
3342,3048,3048,0
3778,1262,1262,0
3831,758,758,0
4141,1190,1190,0
5218,2047,2047,0
5292,1959,1959,0
5371,937,937,0
5746,1768,1768,0
5810,1345,1345,0
5949,1962,1962,0
6088,3429,2021,1408
6139,2361,,
6246,2235,1065,1170
6394,2537,2537,0
6730,1965,,
6794,1232,1232,0
6827,1104,1104,0
7161,926,926,0
7361,944,944,0
7531,2305,1054,1251
7589,2013,2013,0
7769,960,960,0
7989,2148,1748,400
8031,1058,1058,0
8268,1054,1054,0
8399,2427,2427,0
9019,1613,,
9356,3381,1354,1590
9499,1112,1112,0
9609,1080,1080,0
9643,1196,1196,0
9727,2000,2000,0
9737,5231,2704,2527
9867,1440,720,720
9915,1120,1120,0
9916,1386,1386,0
9917,2782,1530,1058
9919,2501,1537,964
9920,1080,1080,0
9921,1111,1111,0
9922,2331,2331,0
9926,2284,986,1298
9929,912,912,0
9932,2177,1529,648
9934,1904,,
9935,4447,3817,630
9936,1523,1523,0
9937,1923,,
