# density, value
3.841422522338606114e-04,0.000000000000000000e+00
0.000000000000000000e+00,2.301681975426459026e+00
0.000000000000000000e+00,4.603363950852918052e+00
0.000000000000000000e+00,6.905045926279377078e+00
0.000000000000000000e+00,9.206727901705836103e+00
0.000000000000000000e+00,1.150840987713229424e+01
0.000000000000000000e+00,1.381009185255875416e+01
7.682845044677215482e-04,1.611177382798521407e+01
0.000000000000000000e+00,1.841345580341167221e+01
3.841422522338607741e-04,2.071513777883813034e+01
7.682845044677203555e-04,2.301681975426458848e+01
1.152426756701582268e-03,2.531850172969105017e+01
7.682845044677215482e-04,2.762018370511750831e+01
3.841422522338601778e-04,2.992186568054396645e+01
7.682845044677227408e-04,3.222354765597042814e+01
1.920711261169300889e-03,3.452522963139688272e+01
1.536569008935440711e-03,3.682691160682334441e+01
1.152426756701584003e-03,3.912859358224980610e+01
1.152426756701580533e-03,4.143027555767626069e+01
1.920711261169306744e-03,4.373195753310272238e+01
2.304853513403161067e-03,4.603363950852917696e+01
7.682845044677203555e-04,4.833532148395563866e+01
2.688995765637029484e-03,5.063700345938210035e+01
2.304853513403161067e-03,5.293868543480855493e+01
4.225564774572461955e-03,5.524036741023501662e+01
2.304853513403168006e-03,5.754204938566147831e+01
6.530418287975623022e-03,5.984373136108793290e+01
5.762133783507902667e-03,6.214541333651439459e+01
6.530418287975623022e-03,6.444709531194085628e+01
3.841422522338625196e-03,6.674877728736731797e+01
4.609707026806322133e-03,6.905045926279376545e+01
9.987698558080364622e-03,7.135214123822022714e+01
4.225564774572461955e-03,7.365382321364668883e+01
8.451129549144923911e-03,7.595550518907315052e+01
1.037184081031428812e-02,7.825718716449961221e+01
8.835271801378783221e-03,8.055886913992605969e+01
1.421326333265282744e-02,8.286055111535252138e+01
9.987698558080364622e-03,8.516223309077898307e+01
1.037184081031422567e-02,8.746391506620544476e+01
6.530418287975662921e-03,8.976559704163190645e+01
1.267669432371738500e-02,9.206727901705835393e+01
1.306083657595124604e-02,9.436896099248481562e+01
9.603556305846505312e-03,9.667064296791127731e+01
1.114012531478194602e-02,9.897232494333773900e+01
1.114012531478194602e-02,1.012740069187642007e+02
1.037184081031428812e-02,1.035756888941906624e+02
1.190840981924966464e-02,1.058773708696171099e+02
9.603556305846505312e-03,1.081790528450435716e+02
6.146276035741762844e-03,1.104807348204700332e+02
9.603556305846505312e-03,1.127824167958964949e+02
1.114012531478201368e-02,1.150840987713229566e+02
1.037184081031422567e-02,1.173857807467494041e+02
9.603556305846505312e-03,1.196874627221758658e+02
8.066987296911062866e-03,1.219891446976023275e+02
9.987698558080364622e-03,1.242908266730287892e+02
9.219414053612644266e-03,1.265925086484552509e+02
8.835271801378838732e-03,1.288941906238817126e+02
9.219414053612587021e-03,1.311958725993081600e+02
8.451129549144975953e-03,1.334975545747346359e+02
6.914560540209525701e-03,1.357992365501610834e+02
7.682845044677155850e-03,1.381009185255875309e+02
6.914560540209525701e-03,1.404026005010140068e+02
7.682845044677155850e-03,1.427042824764404543e+02
3.841422522338625196e-03,1.450059644518669302e+02
8.451129549144975953e-03,1.473076464272933777e+02
6.914560540209440699e-03,1.496093284027198251e+02
7.298702792443388480e-03,1.519110103781463010e+02
4.225564774572435935e-03,1.542126923535727485e+02
5.377991531274075448e-03,1.565143743289992244e+02
6.146276035741801008e-03,1.588160563044256719e+02
4.225564774572435935e-03,1.611177382798521194e+02
1.536569008935450252e-03,1.634194202552785953e+02
3.073138017870862340e-03,1.657211022307050428e+02
3.073138017870900504e-03,1.680227842061315187e+02
1.920711261169312598e-03,1.703244661815579661e+02
2.304853513403146755e-03,1.726261481569844136e+02
1.152426756701587689e-03,1.749278301324108895e+02
1.536569008935431170e-03,1.772295121078373370e+02
1.152426756701587689e-03,1.795311940832638129e+02
7.682845044677251260e-04,1.818328760586902604e+02
7.682845044677155850e-04,1.841345580341167079e+02
7.682845044677251260e-04,1.864362400095431838e+02
1.920711261169288963e-03,1.887379219849696312e+02
7.682845044677251260e-04,1.910396039603961071e+02
1.920711261169288963e-03,1.933412859358225546e+02
0.000000000000000000e+00,1.956429679112490305e+02
7.682845044677251260e-04,1.979446498866754780e+02
1.536569008935431170e-03,2.002463318621019255e+02
1.152426756701587689e-03,2.025480138375284014e+02
0.000000000000000000e+00,2.048496958129548489e+02
7.682845044677251260e-04,2.071513777883813248e+02
1.152426756701587689e-03,2.094530597638077722e+02
1.152426756701573378e-03,2.117547417392342197e+02
1.152426756701587689e-03,2.140564237146606956e+02
0.000000000000000000e+00,2.163581056900871431e+02
0.000000000000000000e+00,2.186597876655136190e+02
0.000000000000000000e+00,2.209614696409400665e+02
0.000000000000000000e+00,2.232631516163665140e+02
0.000000000000000000e+00,2.255648335917929899e+02
3.841422522338577925e-04,2.278665155672194373e+02
