# density, value
2.682266127233302877e-04,4.442804198424119733e+01
0.000000000000000000e+00,5.935573302634537640e+01
3.352832659041629952e-05,7.428342406844954837e+01
6.035098786274927136e-04,8.921111511055372034e+01
2.011699595424979868e-04,1.041388061526579065e+02
0.000000000000000000e+00,1.190664971947620643e+02
0.000000000000000000e+00,1.339941882368662505e+02
0.000000000000000000e+00,1.489218792789704366e+02
0.000000000000000000e+00,1.638495703210745944e+02
3.352832659041632662e-05,1.787772613631787806e+02
0.000000000000000000e+00,1.937049524052829383e+02
0.000000000000000000e+00,2.086326434473871245e+02
0.000000000000000000e+00,2.235603344894913107e+02
6.705665318083253127e-05,2.384880255315954685e+02
0.000000000000000000e+00,2.534157165736996546e+02
0.000000000000000000e+00,2.683434076158038124e+02
0.000000000000000000e+00,2.832710986579079986e+02
0.000000000000000000e+00,2.981987897000121848e+02
3.352832659041639438e-05,3.131264807421163709e+02
0.000000000000000000e+00,3.280541717842205003e+02
0.000000000000000000e+00,3.429818628263246865e+02
3.352832659041626563e-05,3.579095538684288726e+02
0.000000000000000000e+00,3.728372449105330588e+02
0.000000000000000000e+00,3.877649359526372450e+02
0.000000000000000000e+00,4.026926269947414312e+02
0.000000000000000000e+00,4.176203180368455605e+02
0.000000000000000000e+00,4.325480090789497467e+02
0.000000000000000000e+00,4.474757001210539329e+02
3.352832659041626563e-05,4.624033911631581191e+02
6.705665318083278877e-05,4.773310822052623053e+02
1.341133063616650625e-04,4.922587732473664346e+02
0.000000000000000000e+00,5.071864642894706208e+02
0.000000000000000000e+00,5.221141553315748070e+02
3.352832659041639438e-05,5.370418463736790500e+02
1.341133063616655775e-04,5.519695374157831793e+02
1.341133063616645746e-04,5.668972284578873087e+02
6.705665318083278877e-05,5.818249194999915517e+02
1.005849797712491831e-04,5.967526105420956810e+02
6.705665318083228732e-05,6.116803015841998103e+02
3.352832659041639438e-05,6.266079926263040534e+02
3.352832659041614366e-05,6.415356836684081827e+02
0.000000000000000000e+00,6.564633747105124257e+02
0.000000000000000000e+00,6.713910657526165551e+02
6.705665318083228732e-05,6.863187567947206844e+02
6.705665318083278877e-05,7.012464478368249274e+02
6.705665318083228732e-05,7.161741388789290568e+02
1.341133063616655775e-04,7.311018299210332998e+02
1.341133063616645746e-04,7.460295209631374291e+02
3.352832659041639438e-04,7.609572120052416722e+02
1.341133063616655775e-04,7.758849030473458015e+02
2.682266127233291493e-04,7.908125940894499308e+02
5.699815520370787045e-04,8.057402851315541739e+02
4.358682456754098202e-04,8.206679761736583032e+02
4.358682456754131270e-04,8.355956672157625462e+02
4.023399190849967326e-04,8.505233582578666756e+02
3.017549393137452726e-04,8.654510492999708049e+02
2.011699595424983663e-04,8.803787403420750479e+02
6.370382052179067228e-04,8.953064313841791773e+02
4.693965722658295214e-04,9.102341224262834203e+02
5.364532254466623101e-04,9.251618134683875496e+02
7.040948583987388610e-04,9.400895045104916790e+02
8.382081647604098596e-04,9.550171955525959220e+02
9.387931445316518870e-04,9.699448865947000513e+02
1.139963104074157409e-03,9.848725776368042943e+02
1.508774696568737856e-03,9.998002686789084237e+02
2.078756248605785010e-03,1.014727959721012553e+03
2.648737800642915648e-03,1.029655650763116910e+03
2.715794453823707020e-03,1.044583341805220925e+03
2.313454534738713323e-03,1.059511032847325168e+03
2.481096167690832049e-03,1.074438723889429411e+03
2.883436086775788016e-03,1.089366414931533427e+03
2.481096167690794319e-03,1.104294105973637670e+03
3.419889312222498465e-03,1.119221797015741913e+03
3.185191026089533289e-03,1.134149488057845929e+03
2.749322780414123306e-03,1.149077179099950172e+03
2.648737800642915648e-03,1.164004870142054415e+03
2.279926208148297471e-03,1.178932561184158430e+03
2.682266127233291168e-03,1.193860252226262674e+03
2.849907760185371730e-03,1.208787943268366917e+03
2.615209474052498928e-03,1.223715634310471160e+03
2.212869554967464899e-03,1.238643325352575175e+03
1.944642942244136129e-03,1.253571016394679418e+03
1.844057962472915677e-03,1.268498707436783661e+03
1.609359676339974570e-03,1.283426398478887677e+03
1.441718043387894008e-03,1.298354089520991920e+03
1.005849797712499638e-03,1.313281780563096163e+03
8.717364913508196403e-04,1.328209471605200179e+03
9.387931445316518870e-04,1.343137162647304422e+03
3.688115924945775193e-04,1.358064853689408665e+03
4.358682456754164880e-04,1.372992544731512908e+03
5.699815520370743677e-04,1.387920235773616923e+03
2.682266127233291493e-04,1.402847926815721166e+03
3.017549393137498263e-04,1.417775617857825409e+03
1.341133063616645746e-04,1.432703308899929425e+03
3.352832659041613960e-04,1.447630999942033668e+03
6.705665318083228732e-05,1.462558690984137911e+03
6.705665318083329021e-05,1.477486382026242154e+03
3.352832659041614366e-05,1.492414073068346170e+03
0.000000000000000000e+00,1.507341764110450413e+03
6.705665318083329021e-05,1.522269455152554656e+03
